target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature;;;;;
200;199;11;10;6;65531;200;;;;;
200;199;11;10;6;65531;200;;;;;
200;199;12;10;7;65531;200;;;;;
200;200;12;10;7;65531;200;;;;;
200;200;2;0;7;65531;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;7;0;7;0;200;;;;;
200;200;65528;65526;7;65531;200;;;;;
200;201;65527;65526;6;65531;200;;;;;
200;201;65527;65526;6;65531;200;;;;;
200;201;65527;65526;6;65531;200;;;;;
200;201;65527;65526;6;65531;200;;;;;
200;201;65527;65526;6;65531;200;;;;;
200;201;65527;65526;6;65531;200;;;;;
200;201;65527;65526;6;65531;200;;;;;
200;201;65527;65526;6;65531;200;;;;;
200;201;65532;65526;6;0;200;;;;;
200;201;65532;65526;6;0;200;;;;;
200;201;65531;65526;5;0;200;;;;;
200;201;65531;65526;5;0;200;;;;;
200;201;65531;65526;5;0;200;;;;;
200;201;65516;65516;5;65531;200;;;;;
200;201;65531;65526;5;0;200;;;;;
200;202;65521;65516;5;0;200;;;;;
200;202;65521;65516;5;0;200;;;;;
200;202;65520;65516;4;0;200;;;;;
200;202;65520;65516;4;0;200;;;;;
200;202;65520;65516;4;0;200;;;;;
200;202;65520;65516;4;0;200;;;;;
200;202;65520;65516;4;0;200;;;;;
200;202;65524;65516;3;5;200;;;;;
200;202;65519;65516;3;0;200;;;;;
200;202;65519;65516;3;0;200;;;;;
200;203;65519;65516;3;0;200;;;;;
200;202;65503;65506;2;65531;200;;;;;
200;203;65518;65516;2;0;200;;;;;
200;203;65503;65506;2;65531;200;;;;;
200;203;65503;65506;2;65531;200;;;;;
200;202;65502;65506;1;65531;200;;;;;
200;203;65502;65506;1;65531;200;;;;;
200;203;65502;65506;1;65531;200;;;;;
200;203;65501;65506;0;65531;200;;;;;
200;203;65501;65506;0;65531;200;;;;;
200;203;65506;65506;0;0;200;;;;;
200;203;65501;65506;0;65531;200;;;;;
200;203;65506;65506;0;0;200;;;;;
200;203;65506;65506;0;0;200;;;;;
200;203;65506;65506;0;0;200;;;;;
200;203;65506;65506;0;0;200;;;;;
